date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-14,high,13,True,21:51,18.0,20.0,18:51,20.0,18:51,2026-01-15T03:51:00+00:00,2026-01-15T00:51:00+00:00
2026-01-15,high,13,True,17:51,22.0,24.0,15:51,24.0,15:51,2026-01-15T23:51:00+00:00,2026-01-15T21:51:00+00:00
2026-01-16,high,13,True,18:03,35.0,37.0,14:07,37.0,14:07,2026-01-17T00:03:00+00:00,2026-01-16T20:07:00+00:00
2026-01-17,high,13,False,,,21.0,00:51,21.0,00:51,,2026-01-17T06:51:00+00:00
2026-01-18,high,13,False,,,18.0,21:40,18.0,21:40,,2026-01-19T03:40:00+00:00
2026-01-19,high,13,False,,,18.0,00:18,18.0,00:18,,2026-01-19T06:18:00+00:00
2026-01-20,high,13,True,16:51,18.0,20.0,15:51,24.0,21:51,2026-01-20T22:51:00+00:00,2026-01-21T03:51:00+00:00
2026-01-21,high,13,True,22:39,28.0,30.0,22:09,30.0,22:09,2026-01-22T04:39:00+00:00,2026-01-22T04:09:00+00:00
2026-01-22,high,13,False,,,24.0,00:37,24.0,00:37,,2026-01-22T06:37:00+00:00
2026-01-23,high,13,False,,,3.0,00:51,3.0,00:51,,2026-01-23T06:51:00+00:00
2026-01-24,high,13,False,,,6.0,14:51,6.0,14:51,,2026-01-24T20:51:00+00:00
2026-01-25,high,13,True,16:51,11.0,14.0,14:34,14.0,14:34,2026-01-25T22:51:00+00:00,2026-01-25T20:34:00+00:00
2026-01-26,high,13,True,17:51,6.0,8.0,14:51,10.0,23:51,2026-01-26T23:51:00+00:00,2026-01-27T05:51:00+00:00
2026-01-27,high,13,False,,,14.0,05:51,14.0,05:51,,2026-01-27T11:51:00+00:00
2026-01-28,high,13,True,16:51,15.0,17.0,14:51,17.0,14:51,2026-01-28T22:51:00+00:00,2026-01-28T20:51:00+00:00
2026-01-29,high,13,True,16:51,13.0,17.0,14:51,17.0,14:51,2026-01-29T22:51:00+00:00,2026-01-29T20:51:00+00:00
2026-01-30,high,13,True,18:02,16.0,18.0,14:33,18.0,14:33,2026-01-31T00:02:00+00:00,2026-01-30T20:33:00+00:00
2026-01-31,high,13,True,17:51,21.0,25.0,13:42,25.0,13:42,2026-01-31T23:51:00+00:00,2026-01-31T19:42:00+00:00
2026-02-01,high,13,True,17:51,25.0,28.0,15:51,28.0,15:51,2026-02-01T23:51:00+00:00,2026-02-01T21:51:00+00:00
2026-02-02,high,13,True,18:51,25.0,27.0,12:25,27.0,12:25,2026-02-03T00:51:00+00:00,2026-02-02T18:25:00+00:00
2026-02-03,high,13,True,15:51,27.0,29.0,13:29,29.0,13:29,2026-02-03T21:51:00+00:00,2026-02-03T19:29:00+00:00
2026-02-04,high,13,True,17:51,25.0,27.0,14:51,27.0,14:51,2026-02-04T23:51:00+00:00,2026-02-04T20:51:00+00:00
2026-02-05,high,13,True,17:51,29.0,31.0,14:51,31.0,14:51,2026-02-05T23:51:00+00:00,2026-02-05T20:51:00+00:00
2026-02-06,high,13,True,16:29,34.0,38.0,15:51,38.0,15:51,2026-02-06T22:29:00+00:00,2026-02-06T21:51:00+00:00
2026-02-07,high,13,True,17:51,22.0,24.0,13:51,24.0,13:51,2026-02-07T23:51:00+00:00,2026-02-07T19:51:00+00:00
2026-02-08,high,13,True,15:51,28.0,30.0,12:51,30.0,12:51,2026-02-08T21:51:00+00:00,2026-02-08T18:51:00+00:00
2026-02-09,high,13,True,21:51,36.0,38.0,15:51,38.0,15:51,2026-02-10T03:51:00+00:00,2026-02-09T21:51:00+00:00
2026-02-10,high,13,True,15:51,43.0,47.0,12:51,47.0,12:51,2026-02-10T21:51:00+00:00,2026-02-10T18:51:00+00:00
2026-02-11,high,13,True,16:51,40.0,42.0,14:51,42.0,14:51,2026-02-11T22:51:00+00:00,2026-02-11T20:51:00+00:00
2026-02-12,high,13,True,15:51,37.0,39.0,14:51,39.0,14:51,2026-02-12T21:51:00+00:00,2026-02-12T20:51:00+00:00
2026-02-13,high,13,True,16:51,52.0,54.0,15:51,54.0,15:51,2026-02-13T22:51:00+00:00,2026-02-13T21:51:00+00:00
2026-02-14,high,13,True,16:51,48.0,51.0,13:51,51.0,13:51,2026-02-14T22:51:00+00:00,2026-02-14T19:51:00+00:00
2026-01-14,low,7,False,,,17.0,23:51,17.0,23:51,,2026-01-15T05:51:00+00:00
2026-01-15,low,7,True,08:51,15.0,13.0,07:51,13.0,07:51,2026-01-15T14:51:00+00:00,2026-01-15T13:51:00+00:00
2026-01-16,low,7,True,08:03,26.0,22.0,00:04,22.0,00:04,2026-01-16T14:03:00+00:00,2026-01-16T06:04:00+00:00
2026-01-17,low,7,True,09:47,14.0,12.0,05:51,12.0,05:51,2026-01-17T15:47:00+00:00,2026-01-17T11:51:00+00:00
2026-01-18,low,7,True,09:51,9.0,6.0,07:51,6.0,07:51,2026-01-18T15:51:00+00:00,2026-01-18T13:51:00+00:00
2026-01-19,low,7,True,10:51,1.0,-1.0,07:51,-1.0,07:51,2026-01-19T16:51:00+00:00,2026-01-19T13:51:00+00:00
2026-01-20,low,7,True,08:51,6.0,3.0,00:51,3.0,00:51,2026-01-20T14:51:00+00:00,2026-01-20T06:51:00+00:00
2026-01-21,low,7,False,,,21.0,00:51,21.0,00:51,,2026-01-21T06:51:00+00:00
2026-01-22,low,7,True,09:51,17.0,15.0,03:51,5.0,23:51,2026-01-22T15:51:00+00:00,2026-01-23T05:51:00+00:00
2026-01-23,low,7,True,10:51,-8.0,-11.0,07:51,-11.0,07:51,2026-01-23T16:51:00+00:00,2026-01-23T13:51:00+00:00
2026-01-24,low,7,True,08:51,-7.0,-10.0,04:51,-10.0,04:51,2026-01-24T14:51:00+00:00,2026-01-24T10:51:00+00:00
2026-01-25,low,7,True,08:05,9.0,5.0,00:22,5.0,00:22,2026-01-25T14:05:00+00:00,2026-01-25T06:22:00+00:00
2026-01-26,low,7,True,09:51,2.0,0.0,05:51,0.0,05:51,2026-01-26T15:51:00+00:00,2026-01-26T11:51:00+00:00
2026-01-27,low,7,True,08:51,13.0,10.0,00:51,5.0,23:51,2026-01-27T14:51:00+00:00,2026-01-28T05:51:00+00:00
2026-01-28,low,7,True,08:51,4.0,1.0,05:51,1.0,05:51,2026-01-28T14:51:00+00:00,2026-01-28T11:51:00+00:00
